,tweet_id,sentiment,content,processed_corpus
12307,1963529607,fun,Photo: novusnovendo: EYECANDY + LIVE = like a STRIPCLUB! only he keeps his clothes on  BUT he can take them... http://tumblr.com/x2k1wga72,"['Photo', 'novusnovendo', 'EYECANDY', 'LIVE', 'like', 'STRIPCLUB', 'keep', 'clothes', 'take', '...', 'http', '//tumblr.com/x2k1wga72']"
12316,1963531580,fun,@Vivienne89 i noo  i went to the zoo instead lol!! ru goin out 2night??? xx,"['Vivienne89', 'noo', 'went', 'zoo', 'instead', 'lol', 'ru', 'goin', '2night', 'xx']"
12359,1963548913,fun,@xraquelx No sleepover tonight,"['xraquelx', 'sleepover', 'tonight']"
12381,1963562069,fun,Cleaning out my room and found this... http://yfrog.com/0t2b6j   she took me to 2w2v and insisted on paying for my ticket.,"['Cleaning', 'room', 'found', '...', 'http', '//yfrog.com/0t2b6j', 'took', '2w2v', 'insisted', 'paying', 'ticket']"
12388,1963563699,fun,getting ready to babysit,"['getting', 'ready', 'babysit']"
12411,1963567958,fun,NEW YORK DOLLS TOMORROW NIGHT @ THE DEPOT CANCELLED   REFUNDS AVAILABLE AT POINT OF PURCHASE.,"['NEW', 'YORK', 'DOLLS', 'TOMORROW', 'NIGHT', 'DEPOT', 'CANCELLED', 'REFUNDS', 'AVAILABLE', 'POINT', 'PURCHASE']"
12419,1963569465,fun,@tommcfly why you will so little time in rio de janeiro? forgive babelfish!,"['tommcfly', 'little', 'time', 'rio', 'de', 'janeiro', 'forgive', 'babelfish']"
12444,1963573706,fun,Watch Jay Leno tonite!!!  It's his last day as the Tonite Show Host and  Late Nite Leader,"['Watch', 'Jay', 'Leno', 'tonite', ""'s"", 'last', 'day', 'Tonite', 'Show', 'Host', 'Late', 'Nite', 'Leader']"
12487,1963586602,fun,someones dead on army wives. Dad just laughed and Mum got annoyed with him. I wanna watch Britains Got Talent,"['someone', 'dead', 'army', 'wife', 'Dad', 'laughed', 'Mum', 'got', 'annoyed', 'wan', 'na', 'watch', 'Britains', 'Got', 'Talent']"
12510,1963592079,fun,"@Big_Jim I so much want to see the screen adaptation of Kick Ass, but once i found out Nick cage was in it, my heart sank","['Big_Jim', 'much', 'want', 'see', 'screen', 'adaptation', 'Kick', 'Ass', 'found', 'Nick', 'cage', 'heart', 'sank']"
12512,1963592585,fun,@MichelleVo omgggg!! Hawaii!! That's amazing!! I wanna live there,"['MichelleVo', 'omgggg', 'Hawaii', ""'s"", 'amazing', 'wan', 'na', 'live']"
12605,1963641405,fun,OMG that little girl on BGT!!!!!!!!,"['OMG', 'little', 'girl', 'BGT']"
12627,1963645711,fun,I want it to be summer. NOW. why is it sprinkling STILL!?!?,"['want', 'summer', 'sprinkling', 'STILL']"
12674,1963652095,fun,@kayekayekaye Have you met me? (lol) MY MIDDLE NAME IS CREEPY FGS,"['kayekayekaye', 'met', 'lol', 'MIDDLE', 'NAME', 'CREEPY', 'FGS']"
12717,1963705894,fun,@StephWBates  if i was closer i would deliver grub to you!,"['StephWBates', 'closer', 'would', 'deliver', 'grub']"
12755,1963720884,fun,@PlayForKeeps oh my gosh! i know! happend yesterday,"['PlayForKeeps', 'oh', 'gosh', 'know', 'happend', 'yesterday']"
12791,1963727607,fun,@ShesElectric_ more than youl ever no ! !! ! !!   xxx,"['ShesElectric_', 'youl', 'ever', 'xxx']"
12797,1963728657,fun,Man tha mojitos from earlier got me feelin type funny. Hope I don't get sick  http://myloc.me/20DD,"['Man', 'tha', 'mojitos', 'earlier', 'got', 'feelin', 'type', 'funny', 'Hope', ""n't"", 'get', 'sick', 'http', '//myloc.me/20DD']"
12846,1963744251,fun,@martiningram that's a brilliant idea! only one buzz though,"['martiningram', ""'s"", 'brilliant', 'idea', 'one', 'buzz', 'though']"
12873,1963748845,fun,"@GavinHolt awwwh no way, i was well bubblin!","['GavinHolt', 'awwwh', 'way', 'well', 'bubblin']"
12907,1963783587,fun,Hav fun at heav y Metal happy hour you guys! In the future @staygangsta accadentally sets it on fire while smoking with @grayblue,"['Hav', 'fun', 'heav', 'Metal', 'happy', 'hour', 'guy', 'future', 'staygangsta', 'accadentally', 'set', 'fire', 'smoking', 'grayblue']"
12952,1963792513,fun,"just back from my youngest's Kindergarten graduation. Grateful my mom saved me, she had a gift for my son, I didn't think of it","['back', 'youngest', ""'s"", 'Kindergarten', 'graduation', 'Grateful', 'mom', 'saved', 'gift', 'son', ""n't"", 'think']"
12970,1963809410,fun,@acupofjo 1. i dont  2. LMFAO I WONDER.,"['acupofjo', '1.', 'dont', 'LMFAO', 'WONDER']"
12986,1963812762,fun,"@Craiiiiiig21 @Paola625 sounds like Sonics...which I never had  ...and for the record, I say spicy bred buffalo wings w/ blu cheese &amp; beer","['Craiiiiiig21', 'Paola625', 'sound', 'like', 'Sonics', '...', 'never', '...', 'record', 'say', 'spicy', 'bred', 'buffalo', 'wing', 'w/', 'blu', 'cheese', 'amp', 'beer']"
13018,1963820021,fun,@TheRealKream yup,"['TheRealKream', 'yup']"
13022,1963820969,fun,Rice is ready to eat.Off now to watch Comet 2009!The most important music price in germany.Wow n Lisa arrives around 12p.m.  Still 2 hours,"['Rice', 'ready', 'eat.Off', 'watch', 'Comet', '2009', 'important', 'music', 'price', 'germany.Wow', 'n', 'Lisa', 'arrives', 'around', '12p.m', 'Still', 'hour']"
13026,1963821149,fun,How is it that my preschoolers can bowl over a hundred when they weigh only 35-40 lbs? Today was there last day for the year.,"['preschooler', 'bowl', 'hundred', 'weigh', '35-40', 'lb', 'Today', 'last', 'day', 'year']"
13033,1963822494,fun,@hannahbananalee talk about drool - the Canon EOS 5D Mark 2 is *amazing*.  Too bad it costs $2k...  http://tinyurl.com/63qoz4,"['hannahbananalee', 'talk', 'drool', 'Canon', 'EOS', '5D', 'Mark', 'amazing', 'bad', 'cost', '2k', '...', 'http', '//tinyurl.com/63qoz4']"
13045,1963859786,fun,i'm going to pig out on ice cream and potato chips,"[""'m"", 'going', 'pig', 'ice', 'cream', 'potato', 'chip']"
13193,1963945425,fun,I have just been to see the Jonas Brothers 3D movie with @maze  was funny NO ONE else was there  hahah can't... http://tinyurl.com/magcwo,"['see', 'Jonas', 'Brothers', '3D', 'movie', 'maze', 'funny', 'ONE', 'else', 'hahah', 'ca', ""n't"", '...', 'http', '//tinyurl.com/magcwo']"
13202,1963948451,fun,@pfchangs I can't direct message you for my free lunch,"['pfchangs', 'ca', ""n't"", 'direct', 'message', 'free', 'lunch']"
13284,1963986232,fun,Maaaaaaaaajor headache. It's so gloomy outside!  Just gonna lounge today. Whoopiiiiii.,"['Maaaaaaaaajor', 'headache', ""'s"", 'gloomy', 'outside', 'gon', 'na', 'lounge', 'today', 'Whoopiiiiii']"
13305,1963989563,fun,Last session of the day  http://twitpic.com/67ezh,"['Last', 'session', 'day', 'http', '//twitpic.com/67ezh']"
13448,1964036871,fun,@NTKilpatrick nope  but the T1i looks super sweet!,"['NTKilpatrick', 'nope', 'T1i', 'look', 'super', 'sweet']"
13458,1964039049,fun,@chloestraw  I want to go to the pub. Boooo.,"['chloestraw', 'want', 'go', 'pub', 'Boooo']"
13470,1964041880,fun,on youtube watching taylor on the today show wish i was there !,"['youtube', 'watching', 'taylor', 'today', 'show', 'wish']"
13473,1964042664,fun,@ShawnDotB me to mi sausage,"['ShawnDotB', 'mi', 'sausage']"
13480,1964049019,fun,Out with the guys playing 10 pin &amp; doing Mexican! Great combo! My bowling was not so good though  I blame it on my previous broken arm!!,"['guy', 'playing', '10', 'pin', 'amp', 'Mexican', 'Great', 'combo', 'bowling', 'good', 'though', 'blame', 'previous', 'broken', 'arm']"
13483,1964049658,fun,off to Sacto to take babies to kennel,"['Sacto', 'take', 'baby', 'kennel']"
13570,1964088605,fun,Leaving L.A.  but had so much fun!,"['Leaving', 'L.A.', 'much', 'fun']"
13621,1964118843,fun,@shipperz Im alive..lol ooooo  youre not here,"['shipperz', 'Im', 'alive', '..', 'lol', 'ooooo', 'youre']"
13684,1964142308,fun,have an extra Justin Rutledge ticket for the Mod Club tonight,"['extra', 'Justin', 'Rutledge', 'ticket', 'Mod', 'Club', 'tonight']"
13720,1964150267,fun,"@rickblanton Not married any more! Silly man! That was done long ago, you do read my tweets! Barely escaped w/out paying him alimony!","['rickblanton', 'married', 'Silly', 'man', 'done', 'long', 'ago', 'read', 'tweet', 'Barely', 'escaped', 'w/out', 'paying', 'alimony']"
13806,1964211217,fun,@djknucklehead  no water park today? made me jealous looking at that pic,"['djknucklehead', 'water', 'park', 'today', 'made', 'jealous', 'looking', 'pic']"
13809,1964211999,fun,I've already been cleaning for over an hour!!! So much more http://twitpic.com/67gzx,"[""'ve"", 'already', 'cleaning', 'hour', 'much', 'http', '//twitpic.com/67gzx']"
13829,1964217532,fun,@LadyStar88 Lol...I am greedy. I'm craving Coldstone again.,"['LadyStar88', 'Lol', '...', 'greedy', ""'m"", 'craving', 'Coldstone']"
13867,1964227836,fun,Took a long nap...I feel like I should still be asleep,"['Took', 'long', 'nap', '...', 'feel', 'like', 'still', 'asleep']"
13883,1964231358,fun,"Late night fun with friend, and early morning wake ups make Zeb a very grumpy girl","['Late', 'night', 'fun', 'friend', 'early', 'morning', 'wake', 'ups', 'make', 'Zeb', 'grumpy', 'girl']"
13920,1964246823,fun,So aparently my Out of Sight album sampler cd only has the video on it,"['aparently', 'Sight', 'album', 'sampler', 'cd', 'video']"
13944,1964250656,fun,"PKU meeting in London, ON all day today.  One of my favorite PKUers Jessie not there.   He has PKU and Leukemia and was in the hospital.","['PKU', 'meeting', 'London', 'day', 'today', 'One', 'favorite', 'PKUers', 'Jessie', 'PKU', 'Leukemia', 'hospital']"
13978,1964290614,fun,Awww I wanted to see some more of Greg,"['Awww', 'wanted', 'see', 'Greg']"
13985,1964292186,fun,wants a new phone. ugh my b-day in 3 weeks ya'll,"['want', 'new', 'phone', 'ugh', 'b-day', 'week', 'ya', ""'ll""]"
14010,1964299372,fun,i am SOOO mad...yesterday and today...SUCKED!!!so much!,"['SOOO', 'mad', '...', 'yesterday', 'today', '...', 'SUCKED', 'much']"
14110,1964365551,fun,were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,"['playing', 'club', 'impact', 'tomorrow', 'finally', 'got', 'shirt', 'woopity', 'doo', 'want', 'slurpeeee', 'sooo', 'bad', 'right']"
14122,1964368363,fun,@SHELLiZAY hmmm Essense awards would be fun... but also pricy,"['SHELLiZAY', 'hmmm', 'Essense', 'award', 'would', 'fun', '...', 'also', 'pricy']"
14169,1964376606,fun,"BGT was just amazing tonight, and threee amazing acts got sent home","['BGT', 'amazing', 'tonight', 'threee', 'amazing', 'act', 'got', 'sent', 'home']"
14171,1964376810,fun,got my car back and excited/sad for the going away party I'm attending tonight. Dani is going back to Brazil...,"['got', 'car', 'back', 'excited/sad', 'going', 'away', 'party', ""'m"", 'attending', 'tonight', 'Dani', 'going', 'back', 'Brazil', '...']"
14175,1964377782,fun,"@skaterdays LOL, such a dork. Hmm, is that book pretty good? Maybe I should check it out. That's why 4gb sucks  8 isn't much better.","['skaterdays', 'LOL', 'dork', 'Hmm', 'book', 'pretty', 'good', 'Maybe', 'check', ""'s"", '4gb', 'suck', ""n't"", 'much', 'better']"
14226,1964388803,fun,Don't have the Will power to finish hour two of my work out,"[""n't"", 'power', 'finish', 'hour', 'two', 'work']"
14255,1964394593,fun,@NewMoon_addict yeah like super short  I guess I'll just have to hold my breath till Sunday.,"['NewMoon_addict', 'yeah', 'like', 'super', 'short', 'guess', ""'ll"", 'hold', 'breath', 'till', 'Sunday']"
14303,1964454192,fun,Hmm...what to make for dinner tonight???  No clue.  Don't feel like cooking anything    Hubby wants to go away tonight.,"['Hmm', '...', 'make', 'dinner', 'tonight', 'clue', ""n't"", 'feel', 'like', 'cooking', 'anything', 'Hubby', 'want', 'go', 'away', 'tonight']"
14305,1964454625,fun,@staceyviera I know. I was hoping to meet you tonite  &amp; I just found out a few min ago that we have a mutual friend Cuong H.,"['staceyviera', 'know', 'hoping', 'meet', 'tonite', 'amp', 'found', 'min', 'ago', 'mutual', 'friend', 'Cuong', 'H']"
14364,1964493987,fun,@rosskie good luck!!  OH and I are playing inthe mixed knockout this week. Playing the pros 14yr old son playing off 5 &amp; top woman off 6,"['rosskie', 'good', 'luck', 'OH', 'playing', 'inthe', 'mixed', 'knockout', 'week', 'Playing', 'pro', '14yr', 'old', 'son', 'playing', 'amp', 'top', 'woman']"
14387,1964498296,fun,@skotcarruth i like it,"['skotcarruth', 'like']"
14402,1964503268,fun,@TheNewMachine Haha. Yep. Ya got me,"['TheNewMachine', 'Haha', 'Yep', 'Ya', 'got']"
14471,1964544338,fun,@Hooded how come? i want pizza,"['Hooded', 'come', 'want', 'pizza']"
14562,1964573016,fun,Welcome to Minnesoooooooota.  Free up some time this trip to catch up! Won't be at Cliquot Club though; they closed,"['Welcome', 'Minnesoooooooota', 'Free', 'time', 'trip', 'catch', 'Wo', ""n't"", 'Cliquot', 'Club', 'though', 'closed']"
14566,1964574277,fun,@ravefamous who will we make fun  of?!?!,"['ravefamous', 'make', 'fun']"
14648,1964595270,fun,Im so excited about the MTV movie awards!!!  even though I won't be there   I can't wait to watch them on tv and I hope...,"['Im', 'excited', 'MTV', 'movie', 'award', 'even', 'though', 'wo', ""n't"", 'ca', ""n't"", 'wait', 'watch', 'tv', 'hope', '...']"
14714,1964621242,fun,@jonasbrothers http://twitpic.com/624qo - but a brown snake bit my duck named Elvis  anyway ahaha Elvis is soo cutee!! And so is Nicho ...,"['jonasbrothers', 'http', '//twitpic.com/624qo', 'brown', 'snake', 'bit', 'duck', 'named', 'Elvis', 'anyway', 'ahaha', 'Elvis', 'soo', 'cutee', 'Nicho', '...']"
14772,1964641130,fun,@CoffeebreakDMV so afraid my daughter's gonna write a memoir where i'm some ungodly mix of Miles &amp; Betty Davis in All About Eve,"['CoffeebreakDMV', 'afraid', 'daughter', ""'s"", 'gon', 'na', 'write', 'memoir', ""'m"", 'ungodly', 'mix', 'Miles', 'amp', 'Betty', 'Davis', 'Eve']"
14909,1964680138,fun,@COVERGIRL6 man i need 2 find a siitter Val still aint fuckin wit me  LOL,"['COVERGIRL6', 'man', 'need', 'find', 'siitter', 'Val', 'still', 'aint', 'fuckin', 'wit', 'LOL']"
14969,1964697706,fun,is getting ready for another makeup baseball game.  Played the same team last night &amp; got run ruled.,"['getting', 'ready', 'another', 'makeup', 'baseball', 'game', 'Played', 'team', 'last', 'night', 'amp', 'got', 'run', 'ruled']"
15031,1964712906,fun,"...celebrated by spilling half my soup. Hello, 40 calorie lunch.    Can it be the weekend now, please?","['...', 'celebrated', 'spilling', 'half', 'soup', 'Hello', '40', 'calorie', 'lunch', 'weekend', 'please']"
15071,1964729293,fun,"@MuchMusic i saw the new cities last tuesday, amazing show! and won tickets for tomorrow's show, but might not be able to make it","['MuchMusic', 'saw', 'new', 'city', 'last', 'tuesday', 'amazing', 'show', 'ticket', 'tomorrow', ""'s"", 'show', 'might', 'able', 'make']"
15109,1964737708,fun,giesal all dayyyyyy. come join meee!,"['giesal', 'dayyyyyy', 'come', 'join', 'meee']"
15129,1964741518,fun,http://twitpic.com/67ljj - As if teenagers need any more encouragement,"['http', '//twitpic.com/67ljj', 'teenager', 'need', 'encouragement']"
15142,1964744624,fun,@KlutzyAnisha  How about we play tomorrow?,"['KlutzyAnisha', 'play', 'tomorrow']"
15170,1964751286,fun,"@mileycyrus Miley!!! I Heard You Have Never Been To A Prom  I Would Have Invited You To Mine If I Knew, We Could Arrange Another One? x","['mileycyrus', 'Miley', 'Heard', 'Never', 'Prom', 'Would', 'Invited', 'Mine', 'Knew', 'Could', 'Arrange', 'Another', 'One', 'x']"
15188,1964764733,fun,@lilithsativa POOOOOOOOR SHEEEEP!!!,"['lilithsativa', 'POOOOOOOOR', 'SHEEEEP']"
15255,1964783318,fun,football in the sun has owned me,"['football', 'sun', 'owned']"
15282,1964789775,fun,"Im stuffed, Ive been eating junk all day!","['Im', 'stuffed', 'Ive', 'eating', 'junk', 'day']"
15286,1964792600,fun,@jackEO313 at first i thought bar life meant you were partying nonstop to catch up for the last 2 years...lol shoulda known better,"['jackEO313', 'first', 'thought', 'bar', 'life', 'meant', 'partying', 'nonstop', 'catch', 'last', 'year', '...', 'lol', 'shoulda', 'known', 'better']"
15344,1964810115,fun,I'm not sure why walking around in barnes and noble comforts me so much. O well now I'm off to work,"[""'m"", 'sure', 'walking', 'around', 'barnes', 'noble', 'comfort', 'much', 'well', ""'m"", 'work']"
15381,1964827674,fun,i don't know what i'm doing  i feel so empty LOLLL cheesy but true :/,"[""n't"", 'know', ""'m"", 'feel', 'empty', 'LOLLL', 'cheesy', 'true']"
15424,1964838007,fun,"@PopularRepublic lol 'if u knew better, u'd do better, wouldnt wear Uggs in shoe weather...' awww RIP Stack B","['PopularRepublic', 'lol', ""'if"", 'u', 'knew', 'better', 'u', ""'d"", 'better', 'wouldnt', 'wear', 'Uggs', 'shoe', 'weather', '...', 'awww', 'RIP', 'Stack', 'B']"
15438,1964840566,fun,"going to my bff's. haha. but thats in like 2 hourssss sooooo...calllll me. actually darn, i have hw","['going', 'bff', ""'s"", 'haha', 'thats', 'like', 'hourssss', 'sooooo', '...', 'calllll', 'actually', 'darn', 'hw']"
15454,1964843305,fun,tried to do something funny on twitter but failed.,"['tried', 'something', 'funny', 'twitter', 'failed']"
15497,1964863174,fun,"@DesmoidSurvivor @fryphile he should be an honourary fluffette, such lovely hair (what's left  )","['DesmoidSurvivor', 'fryphile', 'honourary', 'fluffette', 'lovely', 'hair', ""'s"", 'left']"
15537,1964872212,fun,"@oakridgeboys Think these little youtube's are cool!! Prayers, my dad admitted to hosp. this am, n/sure what problem is yet, maybe heart","['oakridgeboys', 'Think', 'little', 'youtube', ""'s"", 'cool', 'Prayers', 'dad', 'admitted', 'hosp', 'n/sure', 'problem', 'yet', 'maybe', 'heart']"
15630,1964894602,fun,@themaguire maybe one day I can be on your favorite producers list  lol,"['themaguire', 'maybe', 'one', 'day', 'favorite', 'producer', 'list', 'lol']"
15689,1964956139,fun,@AvonteNikole  Meee tooooooo..... And its bad.. when I'm bored... I eat.. lol,"['AvonteNikole', 'Meee', 'tooooooo', '.....', 'bad', '..', ""'m"", 'bored', '...', 'eat', '..', 'lol']"
15707,1964959194,fun,@mrstephens85 hahahaha awww uduhn lun me no mor???,"['mrstephens85', 'hahahaha', 'awww', 'uduhn', 'lun', 'mor']"
15757,1964976665,fun,@megbc OMG!!!!! 17???? wow. I'm the old one...,"['megbc', 'OMG', '17', 'wow', ""'m"", 'old', 'one', '...']"
15759,1964976820,fun,Wants To Dress Up,"['Wants', 'Dress']"
15797,1964985269,fun,@Dojie is that u trying to say i have a cold steal heart  lol,"['Dojie', 'u', 'trying', 'say', 'cold', 'steal', 'heart', 'lol']"
15819,1964991201,fun,@_constantstatic i like babies better  (although i like shows/books about crime),"['_constantstatic', 'like', 'baby', 'better', 'although', 'like', 'shows/books', 'crime']"
15840,1965009270,fun,@kingivn Have fun amorsote even tho u forgot my bday,"['kingivn', 'fun', 'amorsote', 'even', 'tho', 'u', 'forgot', 'bday']"
15921,1965070096,fun,@osandisays dude...come to amel larrieux with me tonight...errybody fakin!,"['osandisays', 'dude', '...', 'come', 'amel', 'larrieux', 'tonight', '...', 'errybody', 'fakin']"
15947,1965077042,fun,Harley Quinn cstm  hehehehe  not going to the prom buaa,"['Harley', 'Quinn', 'cstm', 'hehehehe', 'going', 'prom', 'buaa']"
15960,1965079626,fun,I need to sleep for a whole day to recover from this birthday!! I'm getting so old!!,"['need', 'sleep', 'whole', 'day', 'recover', 'birthday', ""'m"", 'getting', 'old']"
16013,1965092788,fun,okie gonna tweet more because i am loosing you guys or girls,"['okie', 'gon', 'na', 'tweet', 'loosing', 'guy', 'girl']"
16035,1965098144,fun,"Tonight was just a warm up for major night out in West end 2moro, gorgeous dress, killer heels, fraught with problems as big crowd going","['Tonight', 'warm', 'major', 'night', 'West', 'end', '2moro', 'gorgeous', 'dress', 'killer', 'heel', 'fraught', 'problem', 'big', 'crowd', 'going']"
16120,1965251625,fun,I'm SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.,"[""'m"", 'thinking', 'skippin', 'NY', 'morning', 'plan', 'tonight', 'well', 'anyway']"
16123,1965252015,fun,"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try.","['love', 'much', 'make', 'smile', 'time', 'special', 'cant', 'u', 'get', 'scared', 'try']"
16135,1965253769,fun,it's ridiculously warm in bed,"[""'s"", 'ridiculously', 'warm', 'bed']"
16172,1965260251,fun,@kvagur  haha soooo party tonight???,"['kvagur', 'haha', 'soooo', 'party', 'tonight']"
16189,1965267352,fun,"@LMontt I went on a Disney Cruise when I was a kid, but the characters were on strike so there weren't any","['LMontt', 'went', 'Disney', 'Cruise', 'kid', 'character', 'strike', ""n't""]"
16194,1965268188,fun,"@bobbiepen yeah, I was always changing my hair color in High School.  I've pretty much worn everything LOL. Some good, some baaaaaaaad","['bobbiepen', 'yeah', 'always', 'changing', 'hair', 'color', 'High', 'School', ""'ve"", 'pretty', 'much', 'worn', 'everything', 'LOL', 'good', 'baaaaaaaad']"
16216,1965273720,fun,"@yahyan  yahyan: @supremacii iaaaaaaaaaaaaan, i was just joking","['yahyan', 'yahyan', 'supremacii', 'iaaaaaaaaaaaaan', 'joking']"
16236,1965278580,fun,@clouddancefest It was truly awful,"['clouddancefest', 'truly', 'awful']"
16262,1965289800,fun,"@Ashcoates its been fun so far, but its nothing like a festival altho we did have a cider this afternoon, but only the one","['Ashcoates', 'fun', 'far', 'nothing', 'like', 'festival', 'altho', 'cider', 'afternoon', 'one']"
16357,1965313858,fun,"Going out to eat with my entourage, probably to Fat E's since they're closing tomorrow!   watching a movie with Jimmy tonight, text me....","['Going', 'eat', 'entourage', 'probably', 'Fat', 'E', ""'s"", 'since', ""'re"", 'closing', 'tomorrow', 'watching', 'movie', 'Jimmy', 'tonight', 'text', '....']"
16367,1965315271,fun,Im a loner  haha suckss,"['Im', 'loner', 'haha', 'suckss']"
16369,1965315531,fun,i wish i could teach my dog how to play xbox!  alas...no thumbs,"['wish', 'could', 'teach', 'dog', 'play', 'xbox', 'ala', '...', 'thumb']"
16371,1965315724,fun,"Great, just great. #Cookoutofthecentury and my wife's tummy hurts. Just. Great.","['Great', 'great', 'Cookoutofthecentury', 'wife', ""'s"", 'tummy', 'hurt', 'Great']"
16380,1965325243,fun,I am so full. No more food tonight... I don't want no cake and ice cream at this party.,"['full', 'food', 'tonight', '...', ""n't"", 'want', 'cake', 'ice', 'cream', 'party']"
16383,1965325781,fun,Watchin 'how to lose a man in 10 days' wiv mum  lol,"['Watchin', ""'how"", 'lose', 'man', '10', 'day', 'wiv', 'mum', 'lol']"
16416,1965332044,fun,@catrionat7 Lol I Sed Want to Not Ach Dress Up For No Reason. Pleaseeeeeeeeeeeeee Im Bored.  Lol,"['catrionat7', 'Lol', 'Sed', 'Want', 'Ach', 'Dress', 'Reason', 'Pleaseeeeeeeeeeeeee', 'Im', 'Bored', 'Lol']"
16577,1965390251,fun,"word is marlon brando gave him 25 cent . . . yeah , tha GODFATHER","['word', 'marlon', 'brando', 'gave', '25', 'cent', 'yeah', 'tha', 'GODFATHER']"
16667,1965419713,fun,Im had to leave early to go to piccolo practice.,"['Im', 'leave', 'early', 'go', 'piccolo', 'practice']"
16691,1965423806,fun,@samchannah @juliedeborah Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow,"['samchannah', 'juliedeborah', 'Beer', 'excellent', 'excuse', 'Earlier', 'sweating', 'god', 'know', 'much', 'looking', 'forward', 'working', 'tomorrow']"
16714,1965428439,fun,playing at my old school playground still the same except them lame ass got rid of the tire swing,"['playing', 'old', 'school', 'playground', 'still', 'except', 'lame', 'as', 'got', 'rid', 'tire', 'swing']"
16734,1965435422,fun,"OK, time to head into Urban Outfitters to see what catches my eye, then head home, since this rain is hindering any more pics for the day","['OK', 'time', 'head', 'Urban', 'Outfitters', 'see', 'catch', 'eye', 'head', 'home', 'since', 'rain', 'hindering', 'pic', 'day']"
16736,1965435734,fun,@devidev im stuck 2  this when my la love turns in2 road rage lol,"['devidev', 'im', 'stuck', 'la', 'love', 'turn', 'in2', 'road', 'rage', 'lol']"
16772,1965442711,fun,is going to forgo Pub Night with the wife tonight. Tough week for both of us and neither is really up for it. Plus our neighbor died,"['going', 'forgo', 'Pub', 'Night', 'wife', 'tonight', 'Tough', 'week', 'u', 'neither', 'really', 'Plus', 'neighbor', 'died']"
16800,1965449080,fun,wants to go swimming,"['want', 'go', 'swimming']"
16914,1965476607,fun,"RIP Attack Attack!  MTV headbangersball? really? and now you are inside the &quot;goth&quot; genre, wow, I'll still be seein you at @warped09 :/","['RIP', 'Attack', 'Attack', 'MTV', 'headbangersball', 'really', 'inside', 'quot', 'goth', 'quot', 'genre', 'wow', ""'ll"", 'still', 'seein', 'warped09']"
16920,1965477262,fun,"@LeeGazeprophets white pointy shoes haha, and ah you got me excited about the enw drummer  youre mean!","['LeeGazeprophets', 'white', 'pointy', 'shoe', 'haha', 'ah', 'got', 'excited', 'enw', 'drummer', 'youre', 'mean']"
16944,1965481943,fun,DotA is an addiction...i waste 6-7 hours playing dota,"['DotA', 'addiction', '...', 'waste', '6-7', 'hour', 'playing', 'dota']"
16982,1965496028,fun,@joe_g1986 a price drop would be nice  I want another one for a backup/blu-ray player.,"['joe_g1986', 'price', 'drop', 'would', 'nice', 'want', 'another', 'one', 'backup/blu-ray', 'player']"
16993,1965499230,fun,@xoxo_emily  i wish i was there to hear that!,"['xoxo_emily', 'wish', 'hear']"
16997,1965500068,fun,"Rehearsal is done  we had SO MUCH FUUN. hide&amp;seek tag and we learned BOMB DANCES , going home and doing hw maybe!","['Rehearsal', 'done', 'MUCH', 'FUUN', 'hide', 'amp', 'seek', 'tag', 'learned', 'BOMB', 'DANCES', 'going', 'home', 'hw', 'maybe']"
17028,1965505585,fun,@DomCorleone  oh hell yeah lol. im a vegetarian tho but i still cooks the mean =X im a traitor,"['DomCorleone', 'oh', 'hell', 'yeah', 'lol', 'im', 'vegetarian', 'tho', 'still', 'cook', 'mean', '=X', 'im', 'traitor']"
17073,1965520444,fun,Ohhhhh what a line,"['Ohhhhh', 'line']"
17152,1965541670,fun,"@ greengoo: Haha, I don't have any  I have decided to see if making a grilled cheese on a George Foreman would work well...","['greengoo', 'Haha', ""n't"", 'decided', 'see', 'making', 'grilled', 'cheese', 'George', 'Foreman', 'would', 'work', 'well', '...']"
17185,1965555190,fun,"@fifleaona I work in a room in the middle of the office, thus no windows. We call it the programmer cave, I  can only imagine the sky.","['fifleaona', 'work', 'room', 'middle', 'office', 'thus', 'window', 'call', 'programmer', 'cave', 'imagine', 'sky']"
17260,1965573921,fun,Yeahhhhhhhhhhhhh friday..and I work tomorrow,"['Yeahhhhhhhhhhhhh', 'friday', '..', 'work', 'tomorrow']"
17291,1965580603,fun,I need to look at apartments tomorrow,"['need', 'look', 'apartment', 'tomorrow']"
17373,1965647884,fun,@Dannigyrl Fabulous. And I didn't get that pic  Gmail be acting the fool sometimes. Can u DM me it?,"['Dannigyrl', 'Fabulous', ""n't"", 'get', 'pic', 'Gmail', 'acting', 'fool', 'sometimes', 'u', 'DM']"
17377,1965648320,fun,@glennbeck we can't wait to see you too! pls come back to iowa it isn't the same at the theatre,"['glennbeck', 'ca', ""n't"", 'wait', 'see', 'pls', 'come', 'back', 'iowa', ""n't"", 'theatre']"
17388,1965649526,fun,"Romeo and Juliet were very much in love when they were wed. They honored their vows, and where are they now? they're dead.","['Romeo', 'Juliet', 'much', 'love', 'wed', 'honored', 'vow', ""'re"", 'dead']"
